symbol;probability;information
<ARP, 10.2.5.17>;0.000218541020149;12.1598082805
<ARP, 10.2.201.92>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.159>;0.000480790244329;11.0223047568
<ARP, 10.2.200.65>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.133>;8.74164080598e-05;13.4817363754
<ARP, 10.2.203.168>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.149>;0.000480790244329;11.0223047568
<ARP, 169.254.208.10>;4.37082040299e-05;14.4817363754
<ARP, 10.2.2.19>;0.00192316097732;9.0223047568
<ARP, 10.2.5.8>;0.000349665632239;11.4817363754
<ARP, 10.2.201.236>;8.74164080598e-05;13.4817363754
<ARP, 10.2.200.244>;4.37082040299e-05;14.4817363754
<ARP, 10.2.5.249>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.223>;0.00013112461209;12.8967738747
<ARP, 10.2.202.58>;0.000349665632239;11.4817363754
<ARP, 10.2.201.55>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.90>;0.000262249224179;11.8967738747
<ARP, 169.254.169.254>;0.00445823681105;7.80931103346
<ARP, 10.2.7.14>;0.00144237073299;9.43734225608
<ARP, 10.2.203.67>;0.00017483281612;12.4817363754
<ARP, 10.2.201.182>;8.74164080598e-05;13.4817363754
<ARP, 10.2.2.16>;0.000743039468508;10.3942735342
<ARP, 169.254.243.157>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.128>;0.000786747672538;10.311811374
<ARP, 10.2.200.85>;0.000349665632239;11.4817363754
<ARP, 10.2.7.5>;0.000961580488658;10.0223047568
<ARP, 10.2.6.22>;0.00192316097732;9.0223047568
<ARP, 10.2.3.3>;0.00183574456926;9.08941895266
<ARP, 10.2.203.147>;4.37082040299e-05;14.4817363754
<ARP, 10.2.0.2>;0.00118012150881;9.72684887327
<ARP, 10.2.202.172>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.31>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.246>;8.74164080598e-05;13.4817363754
<ARP, 10.2.201.107>;0.000655623060448;10.5748457798
<ARP, 10.2.2.20>;0.00201057738538;8.95817441938
<ARP, 10.2.4.23>;0.00196686918135;8.9898832791
<ARP, 10.2.6.17>;0.00196686918135;8.9898832791
<ARP, 10.2.203.187>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.160>;0.000218541020149;12.1598082805
<ARP, 10.2.1.250>;0.00729927007299;7.09803208296
<ARP, 10.2.202.105>;4.37082040299e-05;14.4817363754
<ARP, 10.2.1.14>;0.00196686918135;8.9898832791
<ARP, 10.2.6.21>;0.00196686918135;8.9898832791
<ARP, 10.2.4.5>;0.000699331264478;10.4817363754
<ARP, 10.2.201.33>;0.000305957428209;11.6743814534
<ARP, 10.2.203.0>;0.000917872284628;10.0894189527
<ARP, 169.254.231.203>;0.000349665632239;11.4817363754
<ARP, 10.2.5.4>;0.000393373836269;11.311811374
<ARP, 10.2.200.150>;0.000480790244329;11.0223047568
<ARP, 10.2.200.187>;0.000874164080598;10.1598082805
<ARP, 10.2.202.196>;0.000743039468508;10.3942735342
<ARP, 10.2.1.2>;0.00152978714105;9.35245335849
<ARP, 10.2.200.70>;0.00017483281612;12.4817363754
<ARP, 10.2.200.102>;0.000262249224179;11.8967738747
<ARP, 10.2.1.205>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.27>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.110>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.180>;0.000218541020149;12.1598082805
<ARP, 10.2.3.9>;0.00161720354911;9.27228300981
<ARP, 10.2.203.105>;8.74164080598e-05;13.4817363754
<ARP, 10.2.0.190>;0.000349665632239;11.4817363754
<ARP, 169.254.189.149>;8.74164080598e-05;13.4817363754
<ARP, 10.2.201.132>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.247>;0.000262249224179;11.8967738747
<ARP, 10.2.200.60>;0.0017483281612;9.15980828055
<ARP, 10.2.202.69>;4.37082040299e-05;14.4817363754
<ARP, 10.2.203.59>;0.00013112461209;12.8967738747
<ARP, 10.2.2.6>;0.00205428558941;8.92714752376
<ARP, 10.2.201.233>;4.37082040299e-05;14.4817363754
<ARP, 10.2.5.254>;0.00017483281612;12.4817363754
<ARP, 10.2.201.198>;0.000349665632239;11.4817363754
<ARP, 10.2.0.64>;0.0236461383802;5.40225159161
<ARP, 10.2.203.41>;0.000480790244329;11.0223047568
<ARP, 10.2.1.5>;0.00205428558941;8.92714752376
<ARP, 10.2.202.236>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.160>;0.000480790244329;11.0223047568
<ARP, 10.2.202.47>;8.74164080598e-05;13.4817363754
<ARP, 10.2.4.13>;0.00196686918135;8.9898832791
<ARP, 10.2.203.89>;0.000305957428209;11.6743814534
<ARP, 10.2.5.11>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.167>;0.000218541020149;12.1598082805
<ARP, 10.2.1.20>;0.00192316097732;9.0223047568
<ARP, 10.2.203.170>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.109>;0.000699331264478;10.4817363754
<ARP, 10.2.202.60>;0.000568206652389;10.7812966573
<ARP, 10.2.200.168>;0.000393373836269;11.311811374
<ARP, 10.2.202.82>;0.000830455876568;10.233808862
<ARP, 10.2.201.218>;0.00113641330478;9.78129665729
<ARP, 10.2.200.242>;4.37082040299e-05;14.4817363754
<ARP, 169.254.81.234>;8.74164080598e-05;13.4817363754
<ARP, 10.2.0.7>;0.00445823681105;7.80931103346
<ARP, 10.2.202.221>;0.000218541020149;12.1598082805
<ARP, 10.2.200.116>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.36>;0.000743039468508;10.3942735342
<ARP, 10.2.0.184>;0.00843568337777;6.88927933817
<ARP, 10.2.203.137>;0.000305957428209;11.6743814534
<ARP, 10.210.210.199>;8.74164080598e-05;13.4817363754
<ARP, 10.2.6.10>;0.00205428558941;8.92714752376
<ARP, 10.2.200.216>;8.74164080598e-05;13.4817363754
<ARP, 10.2.200.135>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.12>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.67>;4.37082040299e-05;14.4817363754
<ARP, 10.2.2.10>;0.000480790244329;11.0223047568
<ARP, 10.2.4.2>;0.00187945277329;9.05547162073
<ARP, 10.2.6.7>;0.00192316097732;9.0223047568
<ARP, 10.2.200.87>;0.00013112461209;12.8967738747
<ARP, 10.2.203.75>;4.37082040299e-05;14.4817363754
<ARP, 10.2.3.5>;0.00144237073299;9.43734225608
<ARP, 10.2.1.9>;0.00179203636523;9.12418437082
<ARP, 10.2.201.101>;0.00100528869269;9.95817441938
<ARP, 169.254.187.165>;4.37082040299e-05;14.4817363754
<ARP, 10.2.6.19>;0.00209799379344;8.89677387471
<ARP, 10.2.200.163>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.157>;0.000218541020149;12.1598082805
<ARP, 10.2.1.16>;0.000611914856419;10.6743814534
<ARP, 10.2.6.23>;0.00205428558941;8.92714752376
<ARP, 10.2.201.98>;4.37082040299e-05;14.4817363754
<ARP, 10.2.1.230>;0.00013112461209;12.8967738747
<ARP, 10.2.203.49>;8.74164080598e-05;13.4817363754
<ARP, 10.2.203.111>;0.00135495432493;9.52754006505
<ARP, 10.2.5.2>;0.000393373836269;11.311811374
<ARP, 10.2.203.9>;0.000655623060448;10.5748457798
<ARP, 10.2.200.138>;8.74164080598e-05;13.4817363754
<ARP, 10.2.202.92>;0.00013112461209;12.8967738747
<ARP, 10.2.202.190>;4.37082040299e-05;14.4817363754
<ARP, 10.2.200.250>;4.37082040299e-05;14.4817363754
<ARP, 10.2.4.254>;0.000743039468508;10.3942735342
<ARP, 10.2.1.21>;0.00192316097732;9.0223047568
<ARP, 10.2.0.183>;0.00930984745837;6.74702675521
<ARP, 10.2.200.104>;0.000393373836269;11.311811374
<ARP, 10.2.200.2>;4.37082040299e-05;14.4817363754
<ARP, 10.2.202.42>;0.00013112461209;12.8967738747
<ARP, 10.2.201.45>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.128>;0.00122382971284;9.67438145338
<ARP, 10.2.203.103>;0.00118012150881;9.72684887327
<ARP, 10.2.7.2>;0.00122382971284;9.67438145338
<ARP, 10.2.5.14>;0.000437082040299;11.1598082805
<ARP, 169.254.206.133>;8.74164080598e-05;13.4817363754
<ARP, 10.2.203.35>;0.00013112461209;12.8967738747
<ARP, 10.2.202.75>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.2>;4.37082040299e-05;14.4817363754
<ARP, 10.2.201.231>;8.74164080598e-05;13.4817363754
<ARP, 10.2.201.209>;8.74164080598e-05;13.4817363754
<ARP, 10.2.201.215>;0.000349665632239;11.4817363754
