ip_address,rtt,type,hop_num
129.250.5.39,14.965,11,15
129.250.5.39,13.658,11,15
129.250.5.39,13.08,11,15
129.250.5.39,14.064,11,15
129.250.5.39,13.991,11,15
129.250.5.39,13.964,11,15
129.250.5.39,15.372,11,15
129.250.5.39,12.801,11,15
129.250.5.39,13.43,11,15
129.250.5.39,13.686,11,15
129.250.5.39,14.135,11,15
129.250.5.39,13.976,11,15
129.250.5.39,13.147,11,15
129.250.5.39,14.17,11,15
129.250.5.39,14.932,11,15
129.250.5.39,13.596,11,15
129.250.5.39,14.308,11,15
129.250.5.39,13.675,11,15
129.250.5.39,14.163,11,15
129.250.5.39,13.506,11,15
129.250.5.39,13.71,11,15
129.250.5.39,14.026,11,15
129.250.5.39,14.57,11,15
129.250.5.39,13.876,11,15
129.250.5.39,13.349,11,15
129.250.5.39,13.735,11,15
129.250.5.39,13.327,11,15
129.250.5.39,14.114,11,15
129.250.5.39,13.708,11,15
129.250.5.39,14.058,11,15
129.250.5.39,13.604,11,15
129.250.5.39,15.415,11,15
129.250.5.39,14.087,11,15
129.250.5.39,13.394,11,15
129.250.5.39,13.168,11,15
129.250.5.39,13.059,11,15
129.250.5.39,13.903,11,15
129.250.5.39,13.736,11,15
129.250.5.39,22.446,11,15
129.250.5.39,20.042,11,15
129.250.5.39,26.6,11,15
129.250.5.39,13.468,11,15
129.250.5.39,13.831,11,15
129.250.5.39,18.401,11,15
129.250.5.39,14.178,11,15
129.250.5.39,13.63,11,15
129.250.5.39,14.31,11,15
129.250.5.39,14.628,11,15
129.250.5.39,13.777,11,15
129.250.5.39,13.075,11,15
129.250.5.39,12.904,11,15
129.250.5.39,37.711,11,15
129.250.5.39,13.469,11,15
129.250.5.39,15.249,11,15
129.250.5.39,13.789,11,15
129.250.5.39,13.701,11,15
129.250.5.39,13.525,11,15
129.250.5.39,14.737,11,15
129.250.5.39,13.469,11,15
129.250.5.39,13.509,11,15
129.250.5.39,13.976,11,15
129.250.5.39,15.366,11,15
129.250.5.39,13.588,11,15
129.250.5.39,13.989,11,15
129.250.5.39,13.336,11,15
129.250.5.39,12.315,11,15
129.250.5.39,14.742,11,15
129.250.5.39,13.515,11,15
129.250.5.39,11.408,11,15
129.250.5.39,13.565,11,15
129.250.5.39,14.783,11,15
129.250.5.39,14.21,11,15
129.250.5.39,14.15,11,15
129.250.5.39,14.532,11,15
129.250.5.39,13.78,11,15
129.250.5.39,27.922,11,15
129.250.5.39,15.362,11,15
129.250.5.39,14.196,11,15
129.250.5.39,13.295,11,15
129.250.5.39,13.968,11,15
129.250.5.39,13.831,11,15
129.250.5.39,13.184,11,15
129.250.5.39,14.205,11,15
129.250.5.39,14.023,11,15
129.250.5.39,15.369,11,15
129.250.5.39,12.894,11,15
129.250.5.39,13.761,11,15
129.250.5.39,12.975,11,15
129.250.5.39,13.167,11,15
129.250.5.39,13.907,11,15
129.250.3.232,14.678,11,16
129.250.3.232,22.819,11,16
129.250.3.232,23.698,11,16
129.250.3.232,24.232,11,16
129.250.3.232,14.136,11,16
129.250.3.232,13.438,11,16
129.250.3.232,13.541,11,16
129.250.3.232,15.233,11,16
129.250.3.232,14.138,11,16
129.250.3.232,13.614,11,16
129.250.3.232,16.028,11,16
129.250.3.232,12.509,11,16
129.250.3.232,14.426,11,16
129.250.3.232,13.764,11,16
129.250.3.232,13.242,11,16
129.250.3.232,13.22,11,16
129.250.3.232,13.372,11,16
129.250.3.232,13.641,11,16
129.250.3.232,13.627,11,16
129.250.3.232,13.636,11,16
129.250.3.232,13.8,11,16
129.250.3.232,13.549,11,16
129.250.3.232,13.654,11,16
129.250.3.232,13.648,11,16
129.250.3.232,13.349,11,16
129.250.3.232,14.374,11,16
129.250.3.232,13.45,11,16
129.250.3.232,13.588,11,16
129.250.3.232,13.718,11,16
129.250.3.232,14.001,11,16
129.250.3.232,12.336,11,16
129.250.3.232,12.745,11,16
129.250.3.232,13.098,11,16
129.250.3.232,13.615,11,16
129.250.3.232,14.646,11,16
129.250.3.232,12.962,11,16
129.250.3.232,13.382,11,16
129.250.3.232,12.465,11,16
129.250.3.232,14.615,11,16
129.250.3.232,13.748,11,16
129.250.3.232,13.617,11,16
129.250.3.232,12.766,11,16
129.250.3.232,13.568,11,16
129.250.3.232,15.013,11,16
129.250.3.232,13.438,11,16
129.250.3.232,13.653,11,16
129.250.3.232,12.629,11,16
129.250.3.232,13.147,11,16
129.250.3.232,13.127,11,16
129.250.3.232,13.636,11,16
129.250.3.232,12.489,11,16
129.250.3.232,13.15,11,16
129.250.3.232,17.286,11,16
129.250.3.232,18.418,11,16
129.250.3.232,21.433,11,16
129.250.3.232,21.33,11,16
129.250.3.232,21.973,11,16
129.250.3.232,14.473,11,16
129.250.3.232,13.807,11,16
129.250.3.232,13.305,11,16
129.250.3.232,13.736,11,16
129.250.3.232,13.773,11,16
129.250.3.232,14.178,11,16
129.250.3.232,13.061,11,16
129.250.3.232,13.446,11,16
129.250.3.232,13.974,11,16
129.250.3.232,15.088,11,16
129.250.3.232,13.53,11,16
129.250.3.232,13.81,11,16
129.250.3.232,13.281,11,16
129.250.3.232,13.649,11,16
129.250.3.232,12.814,11,16
129.250.3.232,12.992,11,16
129.250.3.232,13.605,11,16
129.250.3.232,13.631,11,16
129.250.3.232,15.145,11,16
129.250.3.232,11.533,11,16
129.250.3.232,13.405,11,16
129.250.3.232,13.276,11,16
129.250.3.232,13.235,11,16
129.250.3.232,11.975,11,16
129.250.3.232,14.66,11,16
129.250.3.232,14.693,11,16
129.250.3.232,13.84,11,16
129.250.3.232,15.004,11,16
129.250.3.232,13.329,11,16
129.250.3.232,13.633,11,16
129.250.3.232,13.816,11,16
129.250.3.232,13.706,11,16
129.250.3.232,12.964,11,16
129.250.3.232,13.151,11,16
129.250.3.232,13.614,11,16
129.250.3.232,13.531,11,16
129.250.3.232,13.983,11,16
129.250.3.232,13.574,11,16
129.250.3.232,13.142,11,16
129.250.3.232,11.712,11,16
129.250.3.232,13.445,11,16
129.250.3.232,13.73,11,16
129.250.3.232,13.463,11,16
61.200.80.218,13.803,11,17
61.200.80.218,12.986,11,17
61.200.80.218,15.33,11,17
61.200.80.218,13.831,11,17
61.200.80.218,13.067,11,17
61.200.80.218,13.946,11,17
61.200.80.218,19.201,11,17
61.200.80.218,20.421,11,17
61.200.80.218,25.827,11,17
61.200.80.218,20.186,11,17
61.200.80.218,13.955,11,17
61.200.80.218,13.919,11,17
61.200.80.218,13.759,11,17
61.200.80.218,13.638,11,17
61.200.80.218,13.663,11,17
61.200.80.218,13.244,11,17
61.200.80.218,15.209,11,17
61.200.80.218,13.845,11,17
61.200.80.218,13.611,11,17
61.200.80.218,13.106,11,17
61.200.80.218,12.563,11,17
61.200.80.218,36.023,11,17
61.200.80.218,24.901,11,17
61.200.80.218,13.591,11,17
61.200.80.218,13.256,11,17
61.200.80.218,12.461,11,17
61.200.80.218,13.184,11,17
61.200.80.218,13.657,11,17
61.200.80.218,14.177,11,17
61.200.80.218,14.011,11,17
61.200.80.218,13.755,11,17
61.200.80.218,13.125,11,17
61.200.80.218,14.271,11,17
61.200.80.218,14.373,11,17
61.200.80.218,13.34,11,17
61.200.80.218,13.651,11,17
61.200.80.218,24.18,11,17
61.200.80.218,12.867,11,17
61.200.80.218,12.448,11,17
61.200.80.218,17.557,11,17
61.200.80.218,12.981,11,17
61.200.80.218,12.929,11,17
61.200.80.218,11.879,11,17
61.200.80.218,13.243,11,17
61.200.80.218,13.82,11,17
61.200.80.218,13.182,11,17
61.200.80.218,13.775,11,17
61.200.80.218,13.245,11,17
61.200.80.218,15.163,11,17
61.200.80.218,13.659,11,17
61.200.80.218,13.583,11,17
61.200.80.218,12.919,11,17
61.200.80.218,12.468,11,17
61.200.80.218,13.065,11,17
61.200.80.218,13.639,11,17
61.200.80.218,13.064,11,17
61.200.80.218,12.158,11,17
61.200.80.218,14.02,11,17
61.200.80.218,16.493,11,17
61.200.80.218,18.8,11,17
61.200.80.218,20.94,11,17
