ip_address,rtt,type,hop_num
89.221.41.175,12.274,11,9
195.22.199.179,12.01,11,9
89.221.41.175,12.393,11,9
195.22.199.179,13.725,11,9
89.221.41.175,13.823,11,9
195.22.199.179,12.716,11,9
89.221.41.175,10.146,11,9
195.22.199.179,11.71,11,9
89.221.41.175,13.712,11,9
195.22.199.179,11.79,11,9
89.221.41.175,12.047,11,9
195.22.199.179,11.821,11,9
80.239.193.161,12.424,11,10
80.239.193.161,13.739,11,10
80.239.193.161,13.234,11,10
80.239.193.161,15.855,11,10
80.239.193.161,12.738,11,10
80.239.193.161,11.236,11,10
80.239.193.161,13.184,11,10
80.239.193.161,11.236,11,10
80.239.193.161,14.357,11,10
80.239.193.161,12.587,11,10
80.239.193.161,12.093,11,10
80.239.193.161,15.167,11,10
80.239.193.161,12.078,11,10
